_id,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB
234,ALDRITT,Place,,BRIDGEMAN DOWNS
235,ALDWYCH,Street,,STAFFORD HEIGHTS
236,ALE,Street,,BULIMBA
237,ALENOLA,Street,,CHAPEL HILL
238,ALEX,Close,,UPPER KEDRON
239,ALEX,Place,,ROCHEDALE
240,ALEX,Street,,WYNNUM WEST
241,ALEXANDER,Close,,MACKENZIE
242,ALEXANDER,Road,,OXLEY
243,ALEXANDER,Street,,LOTA
244,ALEXANDER,Street,,ZILLMERE
245,ALEXANDRA,Avenue,,CALAMVALE
246,ALEXANDRA,Avenue,,TARINGA
247,ALEXANDRA,Close,,ASPLEY
248,ALEXANDRA,Place,,MURARRIE
249,ALEXANDRA,Place,,RUNCORN
250,ALEXANDRA,Road,,ASCOT
251,ALEXANDRA,Road,,CLAYFIELD
252,ALEXANDRA,Street,,BALMORAL
253,ALEXANDRA,Street,,BARDON
254,ALEXANDRA,Street,,PADDINGTON
255,ALEXANDRA,Street,,SANDGATE
256,ALEXANDRINA,Circuit,,FOREST LAKE
257,ALEXIS,Street,,ASPLEY
258,ALFORD,Street,,NEW FARM
259,ALFRED,Circuit,,CALAMVALE
260,ALFRED,Street,,FORTITUDE VALLEY
261,ALGAR,Street,,WINDSOR
262,ALGESTER,Road,,ALGESTER
263,ALGESTER,Road,,CALAMVALE
264,ALGESTER,Road,,PARKINSON
265,ALGOL,Street,,INALA
266,ALGONA,Street,,HOLLAND PARK WEST
267,ALGOORI,Street,,MORNINGSIDE
268,ALICE,Street,,BRISBANE CITY
269,ALICE,Street,,KEDRON
270,ALICIA,Street,,NUNDAH
271,ALIEDA,Court,,SINNAMON PARK
272,ALINGTON,Lane,,ASPLEY
273,ALISON,Place,,SUNNYBANK HILLS
274,ALISON,Street,,HAMILTON
275,ALKEEBA,Street,,BANYO
276,ALKINA,Street,,KENMORE
277,ALKIRA,Street,,SUNNYBANK HILLS
278,ALKOOMIE,Street,,WYNNUM
279,ALLAMANDA,Court,,SINNAMON PARK
280,ALLAMANDA,Place,,CHERMSIDE WEST
281,ALLAMANDA,Place,,MOUNT GRAVATT EAST
282,ALLAMANDA,Street,,FAIRFIELD
283,ALLAMANDA,Street,,RUNCORN
284,ALLAMANDA,Street,,THE GAP
285,ALLAMBI,Court,,CORINDA
286,ALLAMBIC,Street,,THE GAP
287,ALLAMBIE,Street,,CARINA
288,ALLAN,Street,,KEDRON
289,ALLAN,Terrace,,CORINDA
290,ALLANDALE,Place,,THE GAP
291,ALLANDALE,Street,,SALISBURY
292,ALLARA,Place,,EIGHT MILE PLAINS
293,ALLARA,Street,,MANLY
294,ALLARD,Close,,BELLBOWRIE
